event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR16333,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Kefar Azza",31.4841,34.5331,1,"Israeli Defense Forces; Kan News",Other-National,"On 8 October 2023, armed clashes took place between Hamas militants and Israeli military forces in Kefar Azza (Ashqelon, HaDarom) as the two sides exchanged fire after Hamas militants infiltrated the town from Gaza. Seven Hamas militants were killed. The number of Israeli fatalities is unspecified.",7,,1762291738
ISR37998,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Police Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Ofaqim,31.3141,34.6203,1,"Times of Israel",National,"On 8 October 2023, at 3 a.m., police forces broke into the house of an elderly Israeli couple who were kept as hostage by a group of five Hamas militants in Ofaqim (Beer Sheva, HaDarom). The police killed all 5 militants and rescued the couple.",5,,1763426427
ISR16308,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-) Special Forces",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ashqelon,31.6693,34.5715,2,Liveuamap,"Local partner-New media","On 8 October 2023, Israeli special forces clashed with Hamas militants in a location between Ashdod and Ashqelon (Ashqelon, HaDarom). Casualties unknown.",0,,1715049478
ISR16328,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,3,"Civilians (Israel)",,7,37,"Civilian targeting",376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ashqelon,31.6693,34.5715,1,"Kan News",National,"On 8 October 2023, Hamas militants fired barrages of rockets from Gaza at Ashqelon (HaDarom), with several reported direct hits within the city. Directly hitting an Israeli woman, injuring her severely. 5 others were lightly injured. The woman was hospitalized. At least four buildings were hit and damaged, including a hospital.",0,,1715049478
ISR16334,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashdod,Ashdod,31.7921,34.6497,2,"Kan News",National,"On 8 October 2023, Israeli military forces killed three Hamas militants on Highway 4 near Ashdod (Ashqelon, HaDarom) after a car chase and exchange of fire.",3,,1715049478
ISR37305,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Holit,31.2300,34.3260,1,N12,National,"On 8 October 2023, armed clashes took place between Hamas militants and Israeli military forces in Holit (Beer Sheva, HaDarom). The two sides exchanged gunfire. Unspecified number of militant fatalities coded as 3.",3,,1762206133
ISR37316,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Nahal Oz",31.4731,34.4983,2,"Israeli Defense Forces",Other,"On 8 October 2023, an Israel Defense Forces UAV killed six Hamas militants near Nahal Oz (Ashqelon, HaDarom).",6,,1762291738
ISR16338,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Yated,31.2065,34.3276,1,"Kan News",National,"On 8 October 2023, Israeli military forces killed several Hamas militants during armed clashes after they infiltrated the town of Yated (Beer Sheva, HaDarom). Unspecified number of fatalities coded as 3.",3,,1762291738
ISR16283,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ziqim,31.6091,34.5214,1,"Haaretz; Jerusalem Post; Kan News",National,"On 8 October 2023, Israeli forces shot and killed 7 Hamas militants that entered Israeli borders by sea from the Ziqim beach (Ashqelon, HaDarom).",7,,1762291738
ISR16337,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ziqim,31.6091,34.5214,2,"Kan News; N12",National,"On 8 October 2023, Israeli military forces killed at least five Hamas militants off the coast of Ziqim (Ashqelon, HaDarom), as the militants attempted to infiltrate the country.",5,,1762291738
ISR37312,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Mefalsim,31.5013,34.5637,1,"Government of Israel; Haaretz; N12",National,"On 8 October 2023, armed clashes took place between Israeli military forces and Hamas militants near Mefalsim (Ashqelon, HaDarom) after the militants infiltrated the town. Unspecified number of fatalities coded as 3. Also, an Israeli soldier was killed. Total fatalities coded as 4 (1 IDF confirmed, 3 militants unspecified).",4,,1762206133
SYR119239,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,,,0,80,,760,"Middle East",Syria,Aleppo,"Ain al Arab","Ain al Arab",Quran,36.7786,38.6191,1,Liveuamap,"Local partner-New media","On 8 October 2023, Turkish fighters shelled Quran village in rural Ain al Arab in the northern Aleppo countryside. Casualties unknown.",0,"Foreign military engagement",1759187037
SYR119327,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Operation Peace Spring","Military Forces of Turkey (2016-); Opposition Rebels (Syria)",2,,,0,20,,760,"Middle East",Syria,"Al Hasakeh","Al Hasakeh","Tal Tamer","Tal Tamer",36.6534,40.3718,1,"Liveuamap; SOHR","Local partner-New media","On 8 October 2023, Turkish fighters and pro-Turkey opposition rebels operating under OPS shelled Tal Tamer and several locations in rural Tal Tamer with heavy artillery in response to QSD's shelling of a Turkish base in Qasemiyeh. Casualties unknown.",0,Insurgency,1759187037
SYR119273,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,8,,,0,80,,760,"Middle East",Syria,"Al Hasakeh","Ras Al Ain",Darbasiyah,Darbasiyah,37.0700,40.6540,1,Liveuamap,"Local partner-New media","On 8 October 2023, Turkish warplanes conducted airstrikes targeting Awda/Odeh oil fields in Darbasiyah in Al Hasakeh's countryside. Casualties unknown.",0,"Foreign military engagement",1759187037
SYR119012,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","JWS: Syrian National Army","Military Forces of Turkey (2016-)",2,"YPG: Peoples Protection Units",,2,22,,760,"Middle East",Syria,Aleppo,Azaz,Aghtrin,Abla,36.4331,37.3551,2,Liveuamap,"Local partner-New media","On 8 October 2023, Turkish fighters shelled YPG positions in the area between Abla and Hazwan in rural northern Aleppo in conjunction with armed clashes taking place between JWS and YPG fighters in the area between Abla and Hazwan. Casualties unknown.",0,Insurgency,1759187037
SYR119221,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,,,0,80,,760,"Middle East",Syria,Aleppo,Azaz,Nabul,Kilote,36.3525,36.9364,1,SOHR,Other,"On 8 October 2023, Turkish fighters shelled Kilote in rural northern Aleppo with heavy artillery. Casualties unknown.",0,"Foreign military engagement",1759187037
SYR119421,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","QSD: Syrian Democratic Forces",,2,"Military Forces of Turkey (2016-)",,8,28,,760,"Middle East",Syria,"Al Hasakeh","Al Hasakeh","Tal Tamer",Qasemiyeh,36.7059,40.3406,1,SOHR,Other,"On 8 October 2023, QSD fighters targeted a Turkish base in Qasemiyeh in rural Al Hasakeh with heavy weapons, killing and injuring several fighters. Unspecified number of fatalities coded as 10.",10,"Foreign military engagement; Insurgency",1759187037
ISR37317,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,1,"Hamas Movement",,3,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Beeri,31.4243,34.4916,1,"Israeli Defense Forces",Other,"On 8 October 2023, Israeli military aircrafts killed two groups of Hamas militants who attempted to infiltrate Beeri (Beer Sheva, HaDarom). Unspecified number of fatalities coded as 3.",3,,1762291738
ISR37318,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaDarom,"Beer Sheva",Besor,Beeri,31.4243,34.4916,1,"Government of Israel; Haaretz; Times of Israel",National,"On 8 October 2023, armed clashes took place between Israeli military forces and Hamas militants in Beeri (Beer Sheva, HaDarom), as Israeli forces successfully managed to free at least 50 civilians who were being held hostage. Israeli forces killed the Hamas militants who held the civilians captive. Unspecified number of fatalities coded as 3. Also, 7 soldiers were killed. Total fatalities coded as 10 (3 Hamas, 7 IDF).",10,,1762291738
ISR16422,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,"Nahal Oz",31.4731,34.4983,2,N12,National,"On 8 October 2023, Hamas militants fired several barrages of rockets from Gaza toward southern Israel, causing sirens to sound in Nahal Oz (Ashqelon, HaDarom) and surrounding locations. Not all rockets hit populated areas, as some rockets were presumably intercepted by the iron dome over the area of Nahal Oz or fell in open areas.",0,,1762291738
ISR37308,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,3,"Civilians (Israel)","Military Forces of Israel (2022-)",7,37,"Civilian targeting",376,"Middle East",Israel,HaDarom,"Beer Sheva",Gerar,Netivot,31.4231,34.5891,1,N12,National,"On 8 October 2023, Hamas militants fired barrages of rockets from Gaza at Netivot (Beer Sheva, HaDarom). At least one direct hit was reported in the city. Also, Israeli iron dome missile defense system intercepted several missiles launched by Hamas from Gaza in Netivot (Beer Sheva, HaDarom).",0,,1722898728
ISR16329,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,3,"Military Forces of Israel (2022-)",,1,13,,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Ashqelon,31.6693,34.5715,2,"Kan News",National,"On 8 October 2023, Hamas militants fired at least 100 rockets from Gaza in the direction of Ashqelon (HaDarom) and its surrounding areas throughout the day. Not all of the rockets hit populated areas, as many were presumably intercepted by the iron dome over the area of Ashqelon.",0,,1722903298
LBN28822,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,8,,,0,80,,422,"Middle East",Lebanon,"Al Nabatieh",Hasbeiya,,"Es Sedaneh",33.3393,35.7122,2,"AlManar TV; National News Agency Lebanon; Twitter","New media-National","On 8 October 2023, at around 11:09, Israeli military forces targeted the Es Sedaneh area (Hasbeiya, Al Nabatieh) with artillery fire in retaliation against the launching of 2 rockets from Lebanon. Casualties unknown.",0,"Foreign military engagement",1786406881
SYR134120,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,8,Hezbollah,,3,38,,760,"Middle East",Syria,Quneitra,Quneitra,Masaada,"Shebaa Farms",33.2833,35.7000,1,"El Nashra",Regional,"On 8 October 2023, Israeli military forces fired artillery shells towards a Hezbollah tent at the Shebaa Farms (Masaada), resulting in its destruction. Later in the day, Israeli military forces fired 3 artillery shells towards another Hezbollah tent that was errected, to scare away Hezbollah fighters. There were no casualties.",0,"Foreign military engagement",1753956190
LBN15150,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,8,,,0,80,,422,"Middle East",Lebanon,South,Tyr,,"Ed Dhayra",33.1053,35.2248,1,Twitter,"New media","On 8 October 2023, Israeli military forces shelled the borders of Ed Dhayra town (Tyr), in response to armed clashes during an infiltration attempt from Lebanon. Casualties unknown.",0,"Foreign military engagement",1756769899
SYR119182,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,"QSD: Syrian Democratic Forces",,2,28,,760,"Middle East",Syria,"Al Hasakeh",Quamishli,Amuda,Amuda,37.1026,40.9313,2,Alkhabour,Subnational,"On 8 October 2023, Turkish fighters shelled QSD positions in rural Amuda in the northern Al Hasakeh countryside with artillery. Casualties unknown.",0,"Foreign military engagement; Insurgency",1759187037
SYR119198,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,"QSD: Syrian Democratic Forces",,2,28,,760,"Middle East",Syria,"Ar Raqqa","Tell Abiad","Ein Issa","Ein Issa",36.3837,38.8628,2,"Alkhabour; SHAAM",National,"On 8 October 2023, Turkish fighters shelled QSD positions in the vicinity of Ein Issa in rural northern Ar Raqqa. Casualties unknown.",0,"Foreign military engagement; Insurgency",1759187037
SYR119227,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,"QSD: Syrian Democratic Forces",,2,28,,760,"Middle East",Syria,Aleppo,Menbij,Menbij,Menbij,36.5258,37.9510,1,"Liveuamap; The Euphrates Post","Local partner-New media","On 8 October 2023, Turkish fighters shelled Menbij in conjunction with targeting QSD positions in the vicinity of Jat in rural Menbij in the Aleppo countryside. Casualties unknown.",0,"Foreign military engagement; Insurgency",1759187037
SYR119245,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,"QSD: Syrian Democratic Forces",,2,28,,760,"Middle East",Syria,Aleppo,Menbij,Menbij,Sayada,36.5548,37.7509,2,"Liveuamap; The Euphrates Post","Local partner-New media","On 8 October 2023, Turkish fighters shelled QSD positions in the vicinity of Sayada in rural Aleppo. Casualties unknown.",0,"Foreign military engagement; Insurgency",1759187037
SYR119251,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,8,"QSD: Syrian Democratic Forces",,2,28,,760,"Middle East",Syria,"Al Hasakeh","Al Malikeyyeh","Al Malikeyyeh",Al-Maabdaa,37.0214,41.9609,1,"Alkhabour; SHAAM",Subnational-National,"On 8 October 2023, Turkish warplanes targeted a QSD military position in Al-Maabdaa in rural Al Hasakeh with airstrikes, in conjunction with a Turkish drone targeting a QSD-affiliated checkpoint in al Hamam village in the vicinity of Al-Maabdaa Casualties unknown.",0,"Foreign military engagement; Insurgency",1770078493
SYR119257,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,8,"QSD: Syrian Democratic Forces",,2,28,,760,"Middle East",Syria,"Al Hasakeh","Al Malikeyyeh","Al Malikeyyeh",Al-Malikeyyeh,37.1745,42.1403,1,"GardaWorld; Liveuamap; SHAAM; SOHR; The Euphrates Post","Local partner-New media","On 8 October 2023, Turkish warplanes targeted a QSD-affiliated vehicle and military position in Al-Malikeyyeh in rural Al Hasakeh, killing several fighters in conjunction with Turkish warplanes conducting airstrikes near Taql Baql oil facility in rural Al-Malikeyyeh and Turkish fighters shelling QSD positions in rural Al-Malikeyyeh. Unspecified number of fatalities coded as 10.",10,"Foreign military engagement; Insurgency",1770078493
SYR119265,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,"YPG: Peoples Protection Units",,2,28,,760,"Middle East",Syria,Aleppo,Azaz,"Tall Refaat","Tall Refaat",36.4726,37.0941,1,"Alkhabour; Liveuamap; SHAAM; SOHR","Local partner-New media","On 8 October 2023, Turkish fighters shelled YPG positions in Tall Refaat and its vicinity in rural northern Aleppo with heavy artillery. Casualties unknown.",0,"Foreign military engagement; Insurgency",1759187037
SYR119270,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,8,"QSD: Syrian Democratic Forces",,2,28,,760,"Middle East",Syria,"Ar Raqqa","Tell Abiad","Tell Abiad","Tell Abiad",36.6978,38.9548,2,Alkhabour,National,"On 8 October 2023, Turkish fighters shelled QSD positions in Tal Sha'ir, Selim and Kuran in rural Tell Abiad in Ar Raqqa's countryside with artillery. Casualties unknown.",0,"Foreign military engagement; Insurgency",1759187037
SYR119285,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,8,"Asayish (Syria)",,2,28,,760,"Middle East",Syria,"Al Hasakeh","Al Malikeyyeh","Al Malikeyyeh","Hisn Castle",36.9769,42.2476,1,"SOHR; The Euphrates Post",Other-Subnational,"On 8 October 2023, Turkish warplanes conducted airstrikes targeting Hisn Castle and an Asayish-affiliated training facility in the Hisn Castle (Kujrat) area in rural Al Hasakeh, killing thirty Asayish members, injuring thirty-seven other Asayish members and destroying the site. 30 fatalities.",30,"Foreign military engagement; Insurgency",1759187037
SYR119287,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Operation Peace Spring","JWS: Syrian National Army; Military Forces of Turkey (2016-)",2,"QSD: Syrian Democratic Forces",,2,22,,760,"Middle East",Syria,"Al Hasakeh","Ras Al Ain","Ras Al Ain","Abu Rasin",36.8465,40.3284,2,"Alkhabour; SOHR",Other-Subnational,"On 8 October 2023, Turkish and JWS fighters operating under OPS renewed their targeting of several villages located along lines of contact extending from Abu Rasin until Tal Tamer in rural Al Hasakeh with shelling, including shelling QSD positions in the vicinity of Abu Rasin with artillery. Casualties unknown",0,Insurgency,1759187037
SYR119302,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,8,,,0,80,,760,"Middle East",Syria,"Al Hasakeh",Quamishli,Qahtaniyyeh,Qahtaniyyah,37.0284,41.5473,2,"Alkhabour; Liveuamap; SOHR","Local partner-New media","On 8 October 2023, Turkish warplanes conducted airstrikes targeting the Awdeh oil tanker station near Qahtaniyyah in rural Al Hasakeh in conjunction with Turkish airstrikes targeting the Kardahol oil facility in rural Qahtaniyyah, causing material damage. Casualties unknown.",0,"Foreign military engagement",1770078493
SYR119366,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Tribal and Clan Forces",,4,"QSD: Syrian Democratic Forces",,2,24,,760,"Middle East",Syria,"Deir ez Zor","Al Mayadin",Thiban,Al-Hawayij,35.0574,40.4924,1,"The Euphrates Post",National,"On 8 October 2023, Tribal and Clan Forces attacked QSD military positions in Al-Hawayij in rural Deir ez Zor. Casualties unknown.",0,Insurgency,1759187037
SYR118953,2023-10-08,2023,1,"Political violence",Battles,"Armed clash","Al Fath Al Mubeen Operation Room",,2,"Military Forces of Syria (2000-2024)",,1,12,,760,"Middle East",Syria,Idleb,"Al Mara","Kafr Nobol","Al Fatatra",35.5902,36.4044,2,SOHR,Other,"On 8 October 2023, Al Fath Al Mubeen Operation Room members carried out an operation targeting a regime and pro-regime militia-affiliated military point along Al Fatatra's frontline in rural southern Idleb, killing one fighter and injuring several others. 1 fatality.",1,Insurgency,1759187037
SYR118959,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Al Fath Al Mubeen Operation Room",,2,"Military Forces of Syria (2000-2024)",,1,12,,760,"Middle East",Syria,Hama,"As Suqaylabiyah","Shat ha",Jurin,35.6162,36.2693,2,"SHAAM; SOHR",Other-National,"On 8 October 2023, Al Fath Al Mubeen members shelled regime positions along the Jurin axis in rural Hama with rockets and artillery. Casualties unknown.",0,Insurgency,1753971557
SYR118960,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Al Fath Al Mubeen Operation Room",,2,"Military Forces of Syria (2000-2024)",,1,12,,760,"Middle East",Syria,Aleppo,Azaz,Nabul,Nabul,36.3751,36.9965,1,"Liveuamap; SHAAM; SOHR","Local partner-New media","On 8 October 2023, Al Fath Al Mubeen fighters targeted several regime-affiliated headquarters in Al-Qardaha area in rural northern Lattakia and in Nabul and al Zahraa and their axes in rural northern Aleppo with artillery and rockets, injuring several regime fighters. There were no fatalities.",0,Insurgency,1753971557
SYR118966,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Al Fath Al Mubeen Operation Room",,2,"Military Forces of Syria (2000-2024)",,1,12,,760,"Middle East",Syria,Aleppo,Azaz,Nabul,Zahraa,36.3598,37.0122,1,"Liveuamap; SHAAM; SOHR","Local partner-New media","On 8 October 2023, Al Fath Al Mubeen fighters targeted several regime-affiliated headquarters in Al-Qardaha area in rural northern Lattakia and in Nabul and al Zahraa and their axes in rural northern Aleppo with rockets, injuring several regime fighters. There were no fatalities.",0,Insurgency,1753971557
SYR118987,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,"Civilians (Syria)",,7,17,"Civilian targeting",760,"Middle East",Syria,Aleppo,"Jebel Saman",Atareb,Abzemo,36.1655,36.8646,1,"Liveuamap; SHAAM; The Euphrates Post","Local partner-New media","On 8 October 2023, regime fighters shelled Abzemo town in rural western Aleppo with artillery and rockets and phosphorous, injuring three civilians including two children. There were no fatalities.",0,Repression,1759187037
SYR119019,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-)","Military Forces of Syria (2000-2024); Militia (Pro-Iran)",8,"Civilians (Syria)",,7,78,"Civilian targeting",760,"Middle East",Syria,Idleb,Idleb,Saraqab,Afes,35.9064,36.8045,1,SHAAM,National,"On 8 October 2023, Russian warplanes conducted airstrikes targeting Afes in rural Idleb in conjunction with regime fighters and pro-Iranian militias shelling the town with artillery, injuring several civilians. There were no fatalities.",0,"Foreign military engagement",1759187037
SYR119029,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Hama,"As Suqaylabiyah",Ziyara,Ankawi,35.5967,36.3877,1,SHAAM,National,"On 8 October 2023, regime fighters shelled Ankawi in rural western Hama with artillery and rockets. Casualties unknown.",0,,1759187037
SYR119058,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Idleb,"Al Mara","Kafr Nobol",Ftireh,35.6097,36.4853,1,Liveuamap,"Local partner-New media","On 8 October 2023, regime fighters shelled Ftireh in rural southern Idleb with artillery. Casualties unknown.",0,,1759187037
SYR119060,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-)","Military Forces of Syria (2000-2024); Militia (Pro-Iran)",8,"Civilians (Syria)",,7,78,"Civilian targeting",760,"Middle East",Syria,Idleb,Ariha,Ehsem,"Deir Sunbul",35.6993,36.6055,1,"Liveuamap; SHAAM","Local partner-New media","On 8 October 2023, Russian warplanes conducted airstrikes targeting Deir Sunbul in rural Idleb in conjunction with regime fighters and pro-Iranian militias shelling the town with artillery, injuring several civilians. There were no fatalities.",0,"Foreign military engagement",1759187037
SYR119069,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Aleppo,Afrin,Afrin,Kabashin,36.3323,36.9175,1,SOHR,Other,"On 8 October 2023, regime fighters shelled Kabashin in rural Aleppo. Casualties unknown.",0,,1759187037
SYR119090,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Aleppo,"Jebel Saman",Atareb,Al-Qasr,36.1297,36.8664,1,SHAAM,National,"On 8 October 2023, regime fighters shelled Al-Qasr village in the countryside of Aleppo with artillery and rockets. Casualties unknown.",0,,1759187037
SYR119100,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-)","Military Forces of Syria (2000-2024); Militia (Pro-Iran)",8,"Civilians (Syria)","Aid Workers (Syria); Health Workers (Syria); Refugees/IDPs (Syria); Syrian Civil Defence",7,78,"Civilian targeting",760,"Middle East",Syria,Idleb,Idleb,Idleb,"Idleb - Unspecified",35.9290,36.6353,1,"Liveuamap; SHAAM; SNHR; SOHR; SY24; The Euphrates Post","Local partner-Other","On 8 October 2023, Russian warplanes conducted airstrikes targeting Idleb city in conjunction with regime fighters and pro-Iranian militias shelling the city and its vicinity including targeting hospitals, residential areas and an IDP camp in the city, killing six including three children, two women and a man who was helping civilians injured by the shelling and injuring 28 civilians including ten children, four women and two Syrian Civil Defense volunteers and temporarily putting the university hospital out of service. On 15 December 2023, a woman succumbed to her injuries. 7 fatalities.",7,"Foreign military engagement",1782778875
SYR119109,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Hama,"As Suqaylabiyah",Ziyara,"Kherbet Elnaqus",35.6469,36.3258,1,"Liveuamap; SHAAM","Local partner-New media","On 8 October 2023, regime fighters shelled Kherbet Elnaqus and its axis in rural western Hama with artillery and rockets. Casualties unknown.",0,,1759187037
SYR119114,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Idleb,Idleb,Sarmin,"Maaret Alia",35.8856,36.7538,1,SOHR,Other,"On 8 October 2023, regime fighters shelled Maaret Alia in rural Idleb with heavy artillery. Casualties unknown.",0,,1759187037
SYR119129,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Idleb,Idleb,Idleb,Qminas,35.8839,36.6799,2,Liveuamap,"Local partner-New media","On 8 October 2023, regime fighters shelled the vicinity of Qminas in rural Idleb with rockets. Casualties unknown.",0,,1759187037
SYR119134,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Idleb,Ariha,Ariha,Ruwaiha,35.7378,36.6950,1,Liveuamap,"Local partner-New media","On 8 October 2023, regime fighters shelled the outskirts of Ruwaiha in rural southern Idleb. Casualties unknown.",0,,1759187037
SYR119138,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-)","Military Forces of Syria (2000-2024)",8,,,0,80,,760,"Middle East",Syria,Lattakia,"Al Haffa",Kansaba,Kabani,35.7187,36.2331,2,"Alkhabour; Liveuamap; SHAAM; SOHR","Local partner-New media","On 8 October 2023, Russian warplanes conducted airstrikes along the Kabani axis and Kabani hills in conjunction with regime fighters selling Kabani axis in rural Lattakia. Casualties unknown.",0,"Foreign military engagement",1759187037
SYR119150,2023-10-08,2023,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-2024)",,1,,,0,10,,760,"Middle East",Syria,Aleppo,"Jebel Saman",Atareb,Sahara,36.1832,36.8427,1,SHAAM,National,"On 8 October 2023, regime fighters shelled Sahara town in rural western Aleppo with artillery and rockets. Casualties unknown.",0,,1759187037
