event_date,actor_origin,scope,events
2023-11-17,Hezbollah,Ampliat,13
2023-11-18,Israel,CNN,34
2023-11-18,Israel,Ampliat,34
2023-11-18,Hezbollah,CNN,7
2023-11-18,Hezbollah,Ampliat,7
2023-11-19,Israel,CNN,32
2023-11-19,Israel,Ampliat,32
2023-11-19,Hezbollah,CNN,16
2023-11-19,Hezbollah,Ampliat,16
2023-11-20,Israel,CNN,29
2023-11-20,Israel,Ampliat,29
2023-11-20,Hezbollah,CNN,7
2023-11-20,Hezbollah,Ampliat,8
2023-11-21,Israel,CNN,31
2023-11-21,Israel,Ampliat,31
2023-11-21,Hezbollah,CNN,12
2023-11-21,Hezbollah,Ampliat,12
2023-11-22,Israel,CNN,39
2023-11-22,Israel,Ampliat,42
2023-11-22,Hezbollah,CNN,14
2023-11-22,Hezbollah,Ampliat,14
2023-11-23,Israel,CNN,43
2023-11-23,Israel,Ampliat,43
2023-11-23,Hezbollah,CNN,21
2023-11-23,Hezbollah,Ampliat,23
2023-11-24,Israel,CNN,1
2023-11-24,Israel,Ampliat,1
2023-11-24,Hezbollah,CNN,0
2023-11-24,Hezbollah,Ampliat,0
2023-11-25,Israel,CNN,1
2023-11-25,Israel,Ampliat,1
2023-11-25,Hezbollah,CNN,0
2023-11-25,Hezbollah,Ampliat,0
2023-11-26,Israel,CNN,4
2023-11-26,Israel,Ampliat,6
2023-11-26,Hezbollah,CNN,0
2023-11-26,Hezbollah,Ampliat,0
2023-11-27,Israel,CNN,2
2023-11-27,Israel,Ampliat,2
2023-11-27,Hezbollah,CNN,0
2023-11-27,Hezbollah,Ampliat,0
2023-11-28,Israel,CNN,1
2023-11-28,Israel,Ampliat,1
2023-11-28,Hezbollah,CNN,0
2023-11-28,Hezbollah,Ampliat,0
2023-11-29,Israel,CNN,0
2023-11-29,Israel,Ampliat,0
2023-11-29,Hezbollah,CNN,0
2023-11-29,Hezbollah,Ampliat,0
2023-11-30,Israel,CNN,2
2023-11-30,Israel,Ampliat,2
2023-11-30,Hezbollah,CNN,0
2023-11-30,Hezbollah,Ampliat,0
2023-12-01,Israel,CNN,18
2023-12-01,Israel,Ampliat,18
2023-12-01,Hezbollah,CNN,6
2023-12-01,Hezbollah,Ampliat,6
2023-12-02,Israel,CNN,29
2023-12-02,Israel,Ampliat,32
2023-12-02,Hezbollah,CNN,10
2023-12-02,Hezbollah,Ampliat,11
2023-12-03,Israel,CNN,34
2023-12-03,Israel,Ampliat,35
2023-12-03,Hezbollah,CNN,6
2023-12-03,Hezbollah,Ampliat,10
2023-12-04,Israel,CNN,31
2023-12-04,Israel,Ampliat,31
2023-12-04,Hezbollah,CNN,11
2023-12-04,Hezbollah,Ampliat,12
2023-12-05,Israel,CNN,47
2023-12-05,Israel,Ampliat,48
2023-12-05,Hezbollah,CNN,12
2023-12-05,Hezbollah,Ampliat,13
2023-12-06,Israel,CNN,29
2023-12-06,Israel,Ampliat,29
2023-12-06,Hezbollah,CNN,10
2023-12-06,Hezbollah,Ampliat,12
2023-12-07,Israel,CNN,34
2023-12-07,Israel,Ampliat,36
2023-12-07,Hezbollah,CNN,12
2023-12-07,Hezbollah,Ampliat,12
2023-12-08,Israel,CNN,40
2023-12-08,Israel,Ampliat,41
2023-12-08,Hezbollah,CNN,7
2023-12-08,Hezbollah,Ampliat,9
2023-12-09,Israel,CNN,29
2023-12-09,Israel,Ampliat,29
2023-12-09,Hezbollah,CNN,10
2023-12-09,Hezbollah,Ampliat,12
2023-12-10,Israel,CNN,30
2023-12-10,Israel,Ampliat,34
2023-12-10,Hezbollah,CNN,7
2023-12-10,Hezbollah,Ampliat,10
2023-12-11,Israel,CNN,27
2023-12-11,Israel,Ampliat,27
2023-12-11,Hezbollah,CNN,7
2023-12-11,Hezbollah,Ampliat,8
2023-12-12,Israel,CNN,10
